Name,Name_graph,Team,Season,Minutes,Primary Position,All Goals,NP Goals,xG,xG/Shot,Shots,Goal Conversion%,Shooting%,Shot Touch%,Penalty Conversion%,PSxG,Assists,xG Assisted,Key Passes,OP Assists,OP xG Assisted,OP Key Passes,SP Assists,SP xG Assisted,SP Key Passes,Scoring Contribution,xG & xG Assisted,Shots & Key Passes,O/U Performance,Dribbles,Successful Dribbles,Failed Dribbles,Dribble%,Fouls Won,Penalty Wins,Dispossessed,Turnovers,Interceptions,PAdj Interceptions,Clearances,PAdj Clearances,Defensive Actions,Aggressive Actions,Blocks/Shot,Defensive Regains,Average DA X,Ball Recov. F2,Ball Recoveries,Tackles,Tack&Int,Tack/DP%,PAdj Tackles,PAdj Tack&Int,Fouls,Dribbles Stopped%,Dribbled Past,Aerial Win%,Aerial Wins,Errors,Pressures,PAdj Pressures,Pressure Regains,Counterpressures,Counterpress Regains,Average Pressure X,Pressures F2,Pressures F2%,Counterpressures F2,Counterpressures F2%,Yellow Cards,2nd Yellows,Red Cards,OP Passes,Passing%,Long Balls,L/R Footedness%,Long Ball%,Pr. Long Balls,UPr. Long Balls,Passes Pressured%,Pr. Pass%,Pr. Pass% Dif.,Average Pass X,Deep Progressions,xGBuildup,xGChain,Carries,Carry%,Carry Length,OP F3 Passes,PintoB,OP Passes Into Box,SP PintoB,Passes Inside Box,Touches In Box,PinTin,Throughballs,Successful Box Cross%,Successful Crosses,Crossing%,Deep Completions,Pass Forward%,Pass Sideways%,Pass Backward%,F3 Pass Forward%,F3 Pass Sideways%,F3 Pass Backward%,Pass Length,Pr. Pass Length,Pass Length Ratio,Pr. Pass Length%,Pr. Pass Length Dif.,Succ. Pass Length,Succ.Pr. Pass Length,Goals Conceded,PSxG Faced,GSAA,Save%,xSv%,Shot Stopping%,xG Faced,Shots Faced,Shots Faced OT%,All Shots Faced,Positioning Error,Penalties Faced,Penalties Conceded,GK Aggressive Dist.,Claims%,Pass into Danger%,Pass into Pressure%,Positive Outcome,Positive Outcome%,Pass OBV,D&C OBV,DA OBV,Shot OBV,Goalkeeper OBV,OBV,Image key,
Misael Domínguez Querétaro,Misael Domínguez,Querétaro,2023/2024,26,Contención,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,3.47,3.47,50,0,0,0,3.47,0,0,0,0,13.9,3.47,0,0,61.67,0,3.47,0,0,0,0,0,0,0,0,0,0,0,13.9,2.82,0,0,0,61.67,6.95,50,0,0,0,0,0,24.32,86,3.47,0,50,0,6.95,14,100,14,53.5,10.42,0,0,31.27,89,10.45,10.42,0,0,0,0,0,0,0,0,0,0,0,14,86,0,0,100,0,24.38,9.74,0.88,100,-14.64,21.52,9.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39,100,0.04,0,0,0,0,0.04,,
Nelson Alexander Deossa Suárez,Nelson Alexander Deossa Suárez,Pachuca,2023/2024,1204,Contención,0.37,0.37,0.1,0.03,3.29,11,23,3,0,0.08,0.15,0.09,1.42,0.15,0.06,1.2,0,0.03,0.22,0.52,0.18,4.71,0.34,2.54,1.94,0.6,76,2.39,0.07,2.99,2.24,1.64,2.19,1.42,1.35,20.41,9.72,0.04,3.96,47.33,5.01,11.66,1.57,3.21,51,1.51,3.7,2.02,27,1.5,58,1.57,0,16.82,14.52,2.62,4.04,0.52,50.62,9.19,55,2.84,70,0.22,0,0,39.24,75,5.38,84,67,1.94,7.55,18,77,2,54.04,9.04,0.45,0.57,42.53,88,7.13,12.41,1.35,0.9,0.45,0.15,0.97,1.87,0.22,17,0.22,19,0.15,20,73,7,22,74,4,22.4,17.38,0.95,98,-5.03,21.25,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,7,7.27,40,0.08,0.19,0.05,-0.05,0,0.27,,
Omar Fernández,Omar Fernández,León,2023/2024,731,Contención,0.12,0.12,0.17,0.34,0.49,25,75,0,0,0.15,0.25,0.19,1.85,0.25,0.17,1.72,0,0.01,0.12,0.37,0.35,2.34,0.02,1.11,0.62,0.49,56,0.74,0,1.72,1.72,0.62,0.73,0.62,0.87,15.51,8.25,0,2.96,46.2,2.96,6.77,0.86,1.48,47,0.85,1.58,0.25,20,0.99,15,0.25,0,14.53,15.56,2.34,2.46,0.49,47.5,7.02,48,1.85,75,0.12,0,0,42.85,85,1.85,8,65,0.86,2.59,12,73,-12,56.04,5.42,0.6,0.66,40.39,92,5.95,14.04,1.6,1.35,0.25,0.12,1.97,3.32,0.25,38,0.62,71,0.49,14,74,12,13,78,9,17.24,13.96,0.98,107,-3.28,16.87,14.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,4.99,39,0.03,0.09,0.02,0.05,0,0.19,,
Omar Govea,Omar Govea,Monterrey,2023/2024,1952,Contención,0,0,0.02,0.03,0.51,0,18,0,0,0.01,0.18,0.07,1.06,0.18,0.05,0.83,0,0.02,0.23,0.18,0.08,1.57,0.1,0.6,0.37,0.23,62,1.06,0,1.11,0.83,1.25,1.52,0.97,1.13,21.44,12.36,0.02,5.21,42.85,3.41,8.72,1.38,2.63,61,1.61,3.13,2.4,38,0.88,55,0.74,0.05,17.71,19.47,3.92,3.46,0.65,45.45,7.06,40,2.44,71,0.42,0,0,62.3,90,4.06,13,66,1.43,5.67,16,92,2,48.74,7.79,0.44,0.47,54.74,97,4.67,13.24,0.97,0.55,0.42,0.05,0.05,0.6,0.14,19,0.18,29,0,15,76,9,18,79,2,20.71,18.27,0.97,100,-2.44,20.11,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,5.58,39,0.07,0.07,0,-0.02,0,0.12,,
Pablo González,Pablo González,Puebla,2023/2024,2768,Contención,0.07,0.07,0.01,0.02,0.62,11,21,0,0,0.03,0,0.02,0.49,0,0.01,0.42,0,0,0.07,0.07,0.03,1.11,0.04,0.23,0.16,0.07,71,0.46,0,0.46,0.55,2.18,2,2.47,2.22,19.83,11.28,0.04,5.46,34.61,4.75,10.89,2.08,4.26,71,1.97,3.98,1.37,38,0.85,55,0.91,0.03,16.39,14.24,3.35,2.86,0.39,38.12,4.06,25,1.24,43,0.16,0,0,40.48,87,4.91,9,76,3.09,5.82,13,78,-9,45.52,3.9,0.36,0.36,31.41,97,5.01,4.94,0.16,0.1,0.07,0,0.07,0.16,0.03,40,0.07,40,0,17,76,8,26,71,3,22.09,19.09,0.98,100,-3,21.65,19.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,4.09,29,0.02,0.09,0.02,0,0,0.12,,
Pedro Aquino,Pedro Aquino,Santos Laguna,2023/2024,1896,Contención,0.05,0.05,0.04,0.1,0.43,11,22,0,0,0.05,0.09,0.04,0.71,0.09,0.03,0.66,0,0,0.05,0.14,0.08,1.14,0.06,0.76,0.43,0.33,56,1.85,0,0.71,1.14,1.66,1.4,2.85,2.21,26.26,15.38,0.04,6.69,37.88,4.84,12.58,2.99,4.65,69,2,3.4,1.9,50,1.33,63,2.14,0,21.37,15.83,4.27,3.99,0.43,40.38,6.46,30,2.37,60,0.43,0,0.05,50.28,87,4.04,10,77,3.47,4.65,14,76,-10,48.79,5.56,0.38,0.39,41.4,95,4.02,8.69,0.28,0.19,0.09,0,0.71,0.9,0.09,0,0,0,0,24,69,7,31,65,4,19.58,16.32,0.98,98,-3.26,19.11,16.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,4.94,33,0.04,0.06,0.05,-0.01,0,0.12,,
Pedro Pedraza Reyna,Pedro Pedraza Reyna,Pachuca,2023/2024,1830,Contención,0,0,0.01,0.03,0.34,0,0,0,0,0,0,0.02,0.49,0,0.02,0.49,0,0,0,0,0.03,0.84,-0.03,0.69,0.3,0.39,43,0.84,0,1.23,1.08,1.72,1.67,1.08,0.97,27.11,15.59,0.03,7.38,42.74,4.67,10.33,2.9,4.62,71,2.68,4.35,2.07,60,1.18,43,1.13,0,22.14,20.73,4.77,4.77,0.64,43.52,8.22,37,2.9,61,0.39,0,0,37.34,86,2.56,11,70,1.43,3.3,14,79,-7,49.76,4.92,0.32,0.34,30.94,94,4.46,7.13,0.25,0.25,0,0,0.39,0.64,0.05,0,0,0,0.05,19,74,8,23,75,2,19.73,16.77,0.98,105,-2.96,19.29,17.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,3.77,21,0.01,0.07,0.02,-0.01,0,0.09,,
Rafael Carioca,Rafael Carioca,Tigres UANL,2023/2024,3780,Contención,0.02,0.02,0.01,0.03,0.33,7,29,0,0,0.02,0.12,0.05,0.83,0.12,0.05,0.81,0,0,0.02,0.14,0.06,1.17,0.09,1,0.6,0.4,60,1.26,0,0.88,1.02,1.05,1.23,0.67,0.82,17.81,9.19,0.01,4.81,38.15,5.14,11.52,2.1,3.14,68,2.58,3.81,0.9,57,1,58,0.45,0.07,14.91,18.02,3.38,3.29,0.36,39.65,4.17,28,1.74,53,0.12,0,0,53.36,91,3.74,5,76,1.07,4.52,16,85,-5,47.2,5.17,0.51,0.55,47.14,96,4.23,10.33,0.52,0.52,0,0.07,0.21,0.74,0.14,32,0.17,44,0.07,15,74,11,20,76,5,20.18,18.06,0.98,101,-2.12,19.85,18.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4.93,34,0.02,0.09,0.04,-0.01,0,0.15,,
Richard Sánchez,Richard Sánchez,América,2023/2024,2007,Contención,0.13,0.13,0.07,0.05,1.3,10,28,1,0,0.05,0.18,0.17,1.7,0.13,0.12,0.99,0.04,0.05,0.72,0.31,0.24,3,0.07,0.99,0.81,0.18,82,0.72,0,0.99,1.17,0.54,0.54,0.94,1.13,17.8,9.64,0.02,4.35,42.4,4.44,9.96,1.44,1.97,58,1.65,2.19,0.76,35,1.03,36,0.4,0,15.65,18.42,3.09,2.38,0.31,44.69,6.01,38,1.79,75,0.13,0,0.04,63.32,89,5.61,8,66,1.48,7.94,12,89,0,50.58,8.3,0.8,0.86,55.92,96,4.35,15.74,2.56,1.61,0.94,0.09,0.94,2.56,0.27,16,0.54,38,0.22,18,72,10,25,68,7,19.99,17.56,0.93,100,-2.43,18.67,17.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,7.84,52,0.17,0.11,0.01,-0.05,0,0.25,,
Rodrigo Dourado,Rodrigo Dourado,Atlético San Luis,2023/2024,3543,Contención,0.03,0.03,0.02,0.08,0.28,9,55,0,0,0.03,0.03,0.02,0.58,0,0.02,0.56,0.03,0,0.03,0.05,0.04,0.86,0.01,0.51,0.33,0.18,65,0.81,0,0.71,0.76,1.32,1.4,1.78,1.89,18.16,10.82,0.04,5.16,36.21,2.74,8.28,2.77,4.09,69,3.12,4.52,1.3,44,1.22,62,1.35,0,14.12,15.57,3.12,3.23,0.33,39.65,4.14,29,1.52,47,0.18,0.03,0,51.61,90,3.91,7,83,2.44,4.04,16,79,-11,42.13,4.75,0.48,0.5,41.99,97,4.92,7.52,0.23,0.23,0,0.08,0.94,1.17,0.03,0,0.03,33,0.2,20,74,6,24,71,5,19.05,17.58,1,101,-1.47,19.07,17.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,5.12,36,0.04,0.07,0.05,-0.01,0,0.15,,
Rodrigo López Quiñones - Pumas UNAM,Rodrigo López Quiñones,Pumas UNAM,2023/2024,1232,Contención,0.07,0.07,0.04,0.03,1.32,6,11,1,0,0.03,0.07,0.03,0.8,0.07,0.03,0.73,0,0,0.07,0.15,0.07,2.12,0.07,2.05,1.39,0.66,68,0.8,0,0.95,2.56,0.95,0.86,0.95,0.76,17.24,7.89,0.01,3.43,44.59,4.75,8.26,1.53,2.48,64,1.46,2.32,1.24,31,0.88,43,0.88,0,14.47,13.11,2.34,2.7,0.15,47.02,6.87,47,1.83,68,0.51,0,0,37.48,81,2.7,12,58,1.68,3.95,15,80,-1,53.21,4.68,0.21,0.24,38.21,91,4.73,9.42,0.8,0.8,0,0,1.02,1.83,0.15,55,0.51,30,0.15,14,75,11,17,71,12,20.53,18.89,0.94,102,-1.65,19.26,19.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,3.52,26,0,0.03,0.02,-0.04,0,0.01,,
Rodrigo López Quiñones - Querétaro,Rodrigo López Quiñones,Querétaro,2023/2024,166,Contención,0,0,0.02,0.01,1.09,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0.02,1.09,-0.02,0.54,0,0.54,0,1.09,0,2.17,0.54,0.54,0.32,0,0,22.29,10.87,0,4.35,42.5,4.89,8.7,2.72,3.26,71,1.68,2,1.63,33,1.09,0,0,0,17.94,12.79,3.81,2.72,0,42.58,4.89,27,1.63,60,0,0,0,39.14,77,3.81,11,64,1.63,4.35,12,56,-21,52.92,6.52,0.19,0.19,36.42,93,5.7,13.05,1.09,1.09,0,0,0.54,1.63,0,0,0,0,0,12,74,14,21,63,17,22.26,21.51,0.96,89,-0.75,21.28,19.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,6.41,42,-0.01,0.07,0.02,-0.03,0,0.04,,
Rogelio Cortéz Pineda,Rogelio Cortéz Pineda,Necaxa,2023/2024,369,Contención,0.24,0.24,0.04,0.04,0.97,25,25,1,0,0.15,0,0.02,0.49,0,0.01,0.24,0,0.01,0.24,0.24,0.06,1.46,0.18,0.97,0.73,0.24,75,1.46,0,0.73,2.19,0.73,0.83,0.73,0.22,32.89,15.35,0.05,2.92,41.75,4.63,8.77,2.44,3.17,71,1.05,1.88,2.68,33,0.97,20,0.24,0,28.02,10.04,2.68,3.9,0,42.89,10.48,37,2.19,56,0.73,0,0,27.53,76,1.71,7,47,0.97,3.41,16,80,4,51.61,3.41,0.16,0.2,28.26,91,5.61,5.36,0.73,0.49,0.24,0,0.49,0.97,0,0,0,0,0,23,66,11,18,73,9,19.54,14.08,0.93,95,-5.46,18.16,13.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,2.51,31,-0.03,0.09,0.04,0.01,0,0.11,,
Salvador Mariscal,Salvador Mariscal,Santos Laguna,2023/2024,667,Contención,0,0,0,0,0,0,0,0,0,0,0,0.01,0.14,0,0.01,0.14,0,0,0,0,0.01,0.14,-0.01,0.54,0.54,0,100,0.27,0,0.41,0.81,1.22,1.43,2.57,3.09,19.17,11.75,0.03,3.78,32.14,2.57,9.45,2.3,3.51,74,3,4.43,1.22,40,0.81,56,1.22,0,15.66,18.81,1.89,3.92,0.41,36.08,3.78,24,1.35,34,0.27,0,0,49.83,86,3.38,13,74,2.84,4.32,14,73,-13,42.71,2.43,0.17,0.17,36.19,98,3.77,4.73,0,0,0,0,0.27,0.27,0.27,0,0.14,50,0.14,19,72,9,14,77,9,18.8,17.39,0.96,94,-1.41,18.08,16.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,1.38,15,0.02,0.03,0.03,0,0,0.09,,
Santiago Naveda,Santiago Naveda,América,2023/2024,518,Contención,0,0,0.05,0.06,0.87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.87,-0.05,0.35,0.35,0,100,1.22,0,0.52,0.7,1.22,1.19,1.22,0.89,15.3,8.69,0.04,3.65,37.95,2.96,7.3,1.22,2.43,54,1.06,2.24,1.22,33,1.04,40,1.39,0,12.87,9.76,2.26,2.09,0.17,38.36,2.78,22,0.7,33,0.17,0,0,31.47,79,1.91,9,52,1.74,3.13,14,56,-24,46.61,1.04,0.34,0.36,24.86,96,4.59,3.3,0.17,0.17,0,0,1.04,1.22,0,0,0,0,0,16,71,12,11,63,26,18.74,18.95,0.95,88,0.21,17.75,16.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,3.34,27,-0.07,0.06,0.02,-0.04,0,-0.03,,
Santiago Trigos Nava,Santiago Trigos Nava,Pumas UNAM,2023/2024,958,Contención,0,0,0.03,0.04,0.66,0,57,1,0,0.03,0.19,0.02,0.47,0.19,0.02,0.47,0,0,0,0.19,0.05,1.13,0.14,1.03,0.38,0.66,36,0.38,0,0.47,1.32,1.22,0.91,1.5,1.35,27.72,13.53,0.02,4.98,37.73,4.04,9.68,3.19,4.42,81,2.73,3.64,2.72,67,0.75,39,0.66,0,21.8,18,3.66,4.32,0.09,39.57,6.11,28,2.72,63,0.28,0,0.09,33.17,84,2.54,20,71,1.97,3.1,22,75,-9,48.88,3.19,0.26,0.26,27.34,94,4.45,5.73,0.47,0.47,0,0.09,0.28,0.75,0,20,0.09,50,0.09,24,67,8,28,64,8,19.33,16.03,0.98,92,-3.31,18.9,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,10,4.04,26,0.06,0.06,0.07,0,0,0.2,,
Sebastián Emiliano Fierro González,Sebastián Emiliano Fierro González,Tigres UANL,2023/2024,481,Contención,0,0,0.02,0.03,0.75,0,25,0,0,0,0,0.01,0.19,0,0.01,0.19,0,0,0,0,0.03,0.94,-0.03,0.19,0.19,0,100,1.12,0,0.94,0.56,1.31,1.35,1.5,1.18,16.28,7.48,0.08,4.49,37.28,6.74,11.04,1.87,3.18,71,1.91,3.26,1.31,67,0.75,40,0.75,0,13.1,15.19,2.81,2.25,0.19,41.05,4.3,33,1.31,58,0.37,0,0,45.46,89,2.06,13,73,1.87,2.43,12,93,4,47.3,3.18,0.47,0.48,37.04,97,4.68,6.17,0.19,0.19,0,0,0.37,0.56,0,0,0,0,0,13,76,11,21,76,3,19.3,17.46,1.01,98,-1.85,19.43,17.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,4.02,31,-0.03,0.07,0.02,-0.02,0,0.04,,
Sebastián Martínez,Sebastián Martínez,América,2023/2024,71,Contención,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.53,0,0,1.26,2.53,1.03,1.26,0.52,40.46,24.02,0.12,7.59,30.26,1.26,10.11,5.06,7.59,100,3.5,4.53,1.26,100,0,50,1.26,0,34.14,26.85,7.59,6.32,1.26,33.72,3.79,11,1.26,20,1.26,0,0,29.08,83,0,17,0,1.26,0,17,75,-8,32.17,1.26,0,0,16.44,92,5.75,0,0,0,0,0,0,0,0,0,0,0,0,13,65,22,0,0,0,15.07,17.5,0.91,73,2.43,13.76,12.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,0.51,9,-0.03,0.06,-0.01,0,0,0.02,,
Sebastián Pérez Bouquet Pérez,Sebastián Pérez Bouquet Pérez,Juárez,2023/2024,620,Contención,0,0,0.1,0.07,1.45,0,20,2,0,0.07,0.29,0.08,1.31,0.29,0.08,1.31,0,0,0,0.29,0.18,2.76,0.11,3.05,1.45,1.6,48,0.87,0,1.6,3.05,0.73,0.9,0.44,0.26,23.22,10.59,0,4.64,45.72,3.05,6.53,2.18,2.9,60,1.81,2.7,1.31,29,1.45,18,0.29,0,19.74,19.34,3.48,4.64,0.15,45.23,8.56,43,3.48,75,0.29,0,0,28.59,87,1.02,4,78,0.73,1.02,16,85,-2,57.37,4.64,0.23,0.34,33.23,87,5.35,10.3,0.73,0.58,0.15,0.15,1.45,2.03,0.29,0,0.15,33,0,16,70,14,24,69,7,16.13,14.36,0.98,109,-1.77,15.86,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,4.44,30,0.1,0.04,0.01,0.02,0,0.17,,
Sebastián Santos Rosales,Sebastián Santos Rosales,León,2023/2024,508,Contención,0,0,0.18,0.07,2.48,0,29,3,0,0.06,0,0.02,0.53,0,0.02,0.53,0,0,0,0,0.21,3.01,-0.21,2.31,1.42,0.89,62,0.35,0,0.71,2.84,0.71,0.48,1.95,1.21,28.37,15.43,0.01,5.67,42.78,4.43,9.22,3.01,3.72,71,2.47,2.96,1.77,67,1.24,33,0.71,0,23.59,16.24,3.72,3.19,0.53,45.14,9.4,40,1.6,50,0.18,0,0,29.26,80,1.42,18,50,2.66,2.13,20,66,-14,51.41,3.19,0.31,0.44,30.33,88,5.84,7.09,0.53,0.53,0,0.35,3.9,4.43,0.18,33,0.35,22,0.35,14,74,12,5,78,18,18.55,18.42,0.95,91,-0.13,17.62,16.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,3.48,23,0.03,0.04,-0.06,-0.08,0,-0.07,,
Sergio Adrián Flores Reyes,Sergio Adrián Flores Reyes,Mazatlán,2023/2024,2140,Contención,0.04,0.04,0.02,0.08,0.29,14,43,0,0,0.08,0,0.03,0.5,0,0.03,0.5,0,0,0,0.04,0.05,0.8,-0.01,0.34,0.21,0.13,63,0.5,0,0.42,0.71,1.47,1.28,2.31,2.12,23.76,13.04,0.03,5.68,35.84,5.38,11.4,2.14,3.62,57,2.04,3.31,2.19,39,1.6,53,1.43,0.04,19.56,17.58,4.08,3.49,0.42,38.03,4.63,24,1.77,51,0.25,0,0,46.64,87,3.11,30,68,3.28,3.62,19,81,-5,45.07,6.01,0.5,0.5,34.7,97,3.49,8.29,0.21,0.21,0,0.04,0.29,0.5,0.13,0,0.04,50,0.13,20,74,6,27,70,3,20.05,18.34,0.97,100,-1.71,19.44,18.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,4.53,37,0.08,0.06,-0.03,0.03,0,0.14,,
Sébastien Antoine Luc Salles Lamonge,Sébastien Antoine Luc Salles Lamonge,Atlético San Luis,2023/2024,1896,Contención,0.19,0.19,0.07,0.05,1.57,12,45,1,0,0.16,0,0.14,1.57,0,0.09,0.95,0,0.06,0.62,0.19,0.21,3.13,-0.02,1.28,0.85,0.43,67,1.57,0,1.28,1.52,0.66,0.64,0.62,0.58,18.22,10.39,0.01,2.71,42.06,2.8,7.17,1.66,2.33,67,1.77,2.41,1.71,41,0.81,28,0.33,0,14.9,15.38,1.99,3.23,0.28,44.18,5.88,39,1.99,62,0.14,0,0,44.85,82,4.41,19,63,1.14,6.45,18,80,-2,51.98,4.65,0.45,0.51,43.42,94,4.06,11.86,1.47,0.76,0.71,0.14,1.95,2.71,0.19,3,0.19,20,0.33,12,74,14,16,72,12,20.24,16.71,0.95,97,-3.52,19.17,16.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,6.12,49,0.03,0.07,0.02,0,0,0.12,,
Tomás Belmonte,Tomás Belmonte,Toluca,2023/2024,1737,Contención,0.1,0.1,0.09,0.09,0.98,11,21,0,0,0.1,0.1,0.05,0.52,0.1,0.05,0.52,0,0,0,0.21,0.14,1.5,0.07,0.52,0.21,0.31,40,1.76,0,0.52,1.35,1.4,1.7,2.33,2.76,20.77,10.36,0.03,5.39,38.48,4.4,9.95,3.37,4.77,84,4.37,6.07,1.87,67,0.62,49,1.19,0,15.65,19.43,3.73,3.16,0.26,40.49,5.08,32,1.76,56,0.16,0,0.05,48.28,89,4.09,11,72,3,4.97,12,78,-11,47.18,3.89,0.45,0.5,39.63,96,3.56,7.36,0.47,0.47,0,0.1,1.92,2.38,0.1,0,0,0,0.16,18,72,11,23,73,4,20.59,19.95,0.97,106,-0.64,19.97,21.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,4.28,29,0.01,0.07,0.06,-0.01,0,0.13,,
Ulises Rivas,Ulises Rivas,Pumas UNAM,2023/2024,3325,Contención,0.16,0.16,0.09,0.09,1.03,16,32,1,0,0.14,0.03,0.02,0.43,0.03,0.02,0.43,0,0,0,0.19,0.11,1.46,0.08,0.3,0.14,0.16,45,0.65,0,0.38,1.22,1.03,0.94,1.98,1.6,17.59,9.04,0.04,3.46,43.85,3.57,7.04,1.65,2.68,67,1.47,2.41,0.95,40,0.81,44,0.84,0,14.99,13.17,2.46,3.41,0.41,48.09,6.55,44,2.17,63,0.16,0,0,26.36,84,1.38,26,61,2.35,1.87,16,74,-11,48.78,2.44,0.3,0.35,21.54,93,3.98,5.41,0.38,0.38,0,0,1.38,1.76,0.03,21,0.08,23,0.05,17,72,11,17,75,9,18.47,16.26,0.96,95,-2.22,17.67,15.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,3.02,20,0.02,0.01,0.05,0.04,0,0.13,,
Vicente Poggi,Vicente Poggi,Necaxa,2023/2024,583,Contención,0,0,0.03,0.03,1.24,0,25,1,0,0.02,0.15,0.02,0.93,0.15,0.02,0.93,0,0,0,0.15,0.05,2.16,0.1,0.93,0.62,0.31,67,0.62,0,1.24,2.01,1.55,0.88,1.24,0.87,36.31,19.16,0.01,5.87,41.12,6.33,11.59,3.24,4.79,64,1.74,2.62,3.4,27,1.85,58,1.7,0.15,29.66,15.9,4.33,4.33,0.31,43.58,10.51,35,3.4,79,0.77,0,0,33.68,82,2.32,14,60,1.85,3.24,25,82,1,50.27,5.1,0.18,0.2,30.13,91,5.37,6.95,0,0,0,0,0.31,0.31,0.15,0,0,0,0,20,66,13,33,60,7,20.6,17.03,0.96,99,-3.58,19.68,16.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,4.48,39,-0.01,0.07,0.12,-0.03,0,0.14,,
Víctor Arteaga,Víctor Arteaga,Toluca,2023/2024,97,Contención,0,0,0.07,0.04,1.85,0,0,2,0,0,0,0.01,0.93,0,0.01,0.93,0,0,0,0,0.08,2.78,-0.08,0,0,0,0,0,0,0.93,0,0,0,0.93,1.18,18.54,9.27,0,0,37.03,2.78,4.63,0.93,0.93,50,0.97,0.97,0.93,0,0.93,0,0,0,16.68,17.49,0,2.78,0,37.52,4.63,28,1.85,67,0,0,0,42.64,96,7.42,30,100,0.93,7.42,4,100,4,49.03,7.42,0.63,0.69,40.78,98,4.54,10.2,0,0,0,0,2.78,2.78,0,0,0,0,0,15,80,4,18,82,0,26.52,28.38,1.01,100,1.87,26.73,28.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4.63,22,0,0.08,0,-0.07,0,0.01,,
Víctor Guzmán Guadalajara,Víctor Guzmán,Guadalajara,2023/2024,2120,Contención,0.3,0.17,0.11,0.06,1.7,10,33,2,75,0.16,0.17,0.1,1.27,0.13,0.1,1.19,0.04,0.01,0.08,0.34,0.21,2.97,0.13,0.59,0.3,0.3,50,1.02,0,1.19,1.95,0.47,0.51,0.76,0.67,21.73,12.74,0,4.2,48.48,4.54,7.9,1.87,2.33,59,1.79,2.3,1.4,45,1.32,45,1.27,0,18.51,18.35,3.31,3.78,0.3,49.75,9.42,51,2.42,64,0.34,0,0,39.1,78,3.18,24,52,1.36,5.56,19,73,-5,56.84,4.92,0.39,0.47,34.34,92,4.26,12.44,1.53,1.23,0.3,0.13,2.25,3.48,0.13,42,0.85,43,0.25,14,72,13,18,71,11,20.59,16.58,0.92,97,-4.01,18.88,16.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,7,5.9,38,0.04,0.04,0.02,0.05,0,0.15,,
Víctor Hugo Ríos de Alba,Víctor Hugo Ríos de Alba,Atlas,2023/2024,393,Contención,0,0,0.04,0.05,0.92,0,25,1,0,0.01,0,0.07,0.69,0,0.07,0.69,0,0,0,0,0.11,1.6,-0.11,0.23,0.23,0,100,0.92,0,0.69,0.46,0.23,0.23,3.9,3.68,22.47,11.23,0.07,6.42,30.62,4.81,9.86,3.44,3.67,79,3.22,3.45,1.15,50,0.92,74,3.21,0,17.88,16.18,3.44,2.98,0.46,34.42,3.9,22,1.15,38,0,0,0,27.74,84,1.15,18,56,4.13,1.83,21,78,-6,45.5,2.29,0.34,0.34,17.42,96,3.09,3.67,0,0,0,0.23,1.83,1.83,0,0,0.46,100,0.46,22,69,9,19,81,0,19.29,17.99,0.91,97,-1.3,17.6,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2.52,16,0.07,0.03,0.29,-0.05,0,0.34,,
